row_id,rule_id,rule_tag,rules,sensitive_words
1,military,国防、部队、军工,军区、部队、武装部、兵役局、代号工厂等单位形成的文件（识别目录中责任者项）；,"军区,部队,武装部,兵役局"
2,territory,领土、边界,档案内容涉及领土、边界纠纷、情况汇报、措施等敏感问题的,"领土,边界,纠纷"
3,politics,政治事件,涉及我党和国家重大问题、重大政治事件尚未作出结论的、不宜公开的、对社会开放会影响党内团结、党和国家机关工作正常开展的。如：三反、五反、胡风反革命集团、高饶事件（高岗、饶漱石反党联盟事件）、整风反右、大鸣大放、文革打砸抢、武斗、批邓、批刘、工贼刘少奇、大汉奸、林贼、二月逆流、赵紫阳、胡耀邦、六四（6.4）事件（春夏之交）、西藏暴乱,"清匪,反霸,减租,退押,土改,三反,五反,反右倾,武斗,批邓,批刘,工贼,大汉奸,林贼,二月逆流,赵紫阳,胡耀邦,六四（6.4）事件,89事件,六四运动,春夏之交,学潮,64血案,64学运,64镇压,64屠杀,64政变,64屠城,64之役,64风波,64动乱,六四学运,绝食静坐,西藏暴乱"
4,legal,政法工作,涉及公安、法院、检察院等司法、监察工作政策（从严判罚、从快从重），对有关人员违法的调查与具体审理情况，如举报、反映问题的记录，具体案件的调查审理、处理，判决书，诉讼书，免予起诉通知，调解通知等对社会开放会造成不良政治影响或不利于审理人员及举报人等人身安全的内容,"逮捕,案件,涉黑,涉恶,“保护伞”,涉枪,涉爆,故意杀人,绑架,违规减刑,假释,超期羁押,刑讯逼供,暴力取证,非法集资,金融诈骗,洗钱,内幕交易,跨境赌博,地下钱庄,走私,反偷渡,涉边安全,涉外经济犯罪,盗窃,偷窃,殴打,杀人,吸毒,贩毒,赌博,拐卖,走私,卖淫,炸毁,监狱,强奸,轮奸,抢劫,先奸后杀,鸡奸,诉讼,复议,审判,判决,定案,立案,破案,审理,判刑,枪决,犯罪嫌疑人,审讯笔录,询问笔录,讯问笔录,辨认笔录,当事人,被害人,控告,管制,玉女心经,少女之心"
5,united_front,统战工作,涉及民族纠纷、民族大矛盾、港、澳、台和侨务工作的内定方针、政策，党派、民主党派加入共产党，党派领导职务安排；,"港,澳,台,侨,民主党派"
6,ethnic,民族工作,民族纠纷处置，侮辱性称呼（如蛮夷、夷族、夷人、蛮子等）,"蛮夷,夷族,夷人,蛮子,鞑子,回回,猓猓 ,倮倮,苗子,瑶佬,瑶鬼,藏蛮子,生番,熟番,生藏,熟藏"
7,religion,宗教事务,描述详细宗教仪式、宗教特殊政策，文中含纳粹符号（卍、卐）。,"诵经,法会,皈依,受戒,法会,焰口施食,灌顶,活佛转世,纳粹,卍,卐"
8,economy,经济事务,经济调控政策，国家的投资计划,"经济调控,投资"
9,finance,财政工作,涉及资金、重要物资分配内容，有明确的分配方式或金额，未公开的预算、决算、收支、赤字、债务、专项资金数据,"分配,拨款,决算,收支,赤字,债务暗箱操作,私下分配,内定,指定,定向,人情拨款,关系拨款,优先照顾,特殊倾斜,特殊安排,额外照顾,额外补助,额外追加,随意调整,擅自调整,擅自分配,截留,挤占,挪用,套取,骗取,虚报冒领,虚列支出,重复申报,多头申报,搭车收费,利益输送,利益交换,优亲厚友,厚此薄彼,平均主义,随意性,不透明,不公开,不公,不均,擅自开口子"
10,diplomacy,外事问题,涉及我党和国家及其领导人与外国政党组织及其领导人之间秘密关系的内容；,"外国,国外,赫鲁晓夫,赫光头,尼赫鲁,艾森豪威尔"
